id,pattern,intent,created_at
1,hello,greeting,"2026-04-10 23:26:21"
2,hi,greeting,"2026-04-10 23:26:21"
3,hey,greeting,"2026-04-10 23:26:21"
4,bye,farewell,"2026-04-10 23:26:21"
5,goodbye,farewell,"2026-04-10 23:26:21"
6,admission,admission,"2026-04-10 23:26:21"
7,apply,admission,"2026-04-10 23:26:21"
8,join,admission,"2026-04-10 23:26:21"
9,courses,courses,"2026-04-10 23:26:21"
10,programs,courses,"2026-04-10 23:26:21"
11,timing,timing,"2026-04-10 23:26:21"
12,schedule,timing,"2026-04-10 23:26:21"
13,hostel,hostel,"2026-04-10 23:26:21"
14,stay,hostel,"2026-04-10 23:26:21"
15,placement,placement,"2026-04-10 23:26:21"
16,jobs,placement,"2026-04-10 23:26:21"
17,contact,contact,"2026-04-10 23:26:21"
18,phone,contact,"2026-04-10 23:26:21"
19,email,contact,"2026-04-10 23:26:21"
20,scholarship,scholarship,"2026-04-10 23:26:21"
21,library,library,"2026-04-10 23:26:21"
